Generating SQLite file /home/ndpvslam/Projects/cuvslam-stack/profiling/results/2026-07-03_124915_freiburg3longofficehouse_nsys_dellworkstation_sm89/raw/profile.sqlite from /home/ndpvslam/Projects/cuvslam-stack/profiling/results/2026-07-03_124915_freiburg3longofficehouse_nsys_dellworkstation_sm89/raw/profile.nsys-rep
Processing [/home/ndpvslam/Projects/cuvslam-stack/profiling/results/2026-07-03_124915_freiburg3longofficehouse_nsys_dellworkstation_sm89/raw/profile.sqlite] with [/usr/lib/nsight-systems/target-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)   Style             Range          
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  -------  -------------------------
    100.0          5656787        290   19506.2   18513.5     16045     62677       3845.0  PushPop  CCCL:cub::DeviceMergeSort

Processing [/home/ndpvslam/Projects/cuvslam-stack/profiling/results/2026-07-03_124915_freiburg3longofficehouse_nsys_dellworkstation_sm89/raw/profile.sqlite] with [/usr/lib/nsight-systems/target-linux-x64/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls   Avg (ns)     Med (ns)    Min (ns)    Max (ns)   StdDev (ns)            Name         
 --------  ---------------  ---------  -----------  -----------  ---------  ----------  ------------  ----------------------
     59.8      75443718909       2751   27424107.2   10065865.0       1562   100138600    35530005.1  poll                  
     40.1      50501131029         59  855951373.4  500017100.0  500009378  4000069887  1066947181.6  pthread_cond_timedwait
      0.1         98789556        888     111249.5       9644.5       1232     9386771      473060.4  ioctl                 
      0.0         19606034       5314       3689.5       3009.5       1152     1616774       29265.6  open64                
      0.0         17056566      12298       1386.9       1142.0       1001       57588        1503.0  read                  
      0.0          1576115         39      40413.2       3896.0       1682     1075162      171368.2  mmap64                
      0.0          1175255         21      55964.5       6500.0       1542      322666       94311.8  mmap                  
      0.0           927907        676       1372.6       1322.0       1001        5278         369.1  stat64                
      0.0           863692        731       1181.5       1042.0       1001        9865         567.0  close                 
      0.0           655898         10      65589.8      28699.0      24657      306852       89933.3  sem_timedwait         
      0.0           285820         65       4397.2       4126.0       2464        9985        1611.7  pthread_cond_signal   
      0.0           251365          4      62841.3      67183.0      33201       83798       21357.9  pthread_create        
      0.0           196722          5      39344.4      36446.0      35615       50698        6422.8  fgets                 
      0.0           190271         32       5946.0       5007.5       1011       31589        5779.9  fclose                
      0.0           153940         44       3498.6       2133.0       1062       16956        3307.7  fopen                 
      0.0            98437         69       1426.6       1242.0       1002        4386         612.8  fstat64               
      0.0            89977         41       2194.6       1883.0       1012        7892        1138.9  write                 
      0.0            71460          1      71460.0      71460.0      71460       71460           0.0  pthread_cond_wait     
      0.0            22867          5       4573.4       4507.0       1513        7692        3003.5  fread                 
      0.0            22014          3       7338.0      10276.0       1232       10506        5289.2  pthread_mutex_lock    
