Generating SQLite file /home/ndpvslam/Projects/cuvslam-stack/profiling/results/2026-07-03_125255_kitti06_nsys_dellworkstation_sm89/raw/profile.sqlite from /home/ndpvslam/Projects/cuvslam-stack/profiling/results/2026-07-03_125255_kitti06_nsys_dellworkstation_sm89/raw/profile.nsys-rep
Processing [/home/ndpvslam/Projects/cuvslam-stack/profiling/results/2026-07-03_125255_kitti06_nsys_dellworkstation_sm89/raw/profile.sqlite] with [/usr/lib/nsight-systems/target-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)   Style             Range          
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  -------  -------------------------
    100.0          2055065         89   23090.6   21813.0     20722     60373       4508.7  PushPop  CCCL:cub::DeviceMergeSort

Processing [/home/ndpvslam/Projects/cuvslam-stack/profiling/results/2026-07-03_125255_kitti06_nsys_dellworkstation_sm89/raw/profile.sqlite] with [/usr/lib/nsight-systems/target-linux-x64/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls   Avg (ns)     Med (ns)    Min (ns)    Max (ns)   StdDev (ns)            Name         
 --------  ---------------  ---------  -----------  -----------  ---------  ----------  ------------  ----------------------
     58.9      11766427152        443   26560783.6   10066002.0       1422   100121413    34910321.5  poll                  
     40.0       8000306754          9  888922972.7  500018450.0  500010136  4000039517  1166668704.4  pthread_cond_timedwait
      0.5        108337114       6352      17055.6       6470.0       1001     8091173      104291.8  read                  
      0.5         95587344        886     107886.4       9510.0       1022    12549545      504226.8  ioctl                 
      0.0          2659414        843       3154.7       3295.0       1192       11437        1129.7  open64                
      0.0          1531818         37      41400.5       3686.0       1602     1043205      170622.4  mmap64                
      0.0          1194768         21      56893.7       6981.0       1513      358071       99049.9  mmap                  
      0.0           933168        670       1392.8       1322.0       1001        7522         421.1  stat64                
      0.0           798608         10      79860.8      31043.0      26451      294563      105717.1  sem_timedwait         
      0.0           285462        259       1102.2       1041.0       1001        3836         279.2  close                 
      0.0           272519          4      68129.8      70879.0      42696       88065       19535.9  pthread_create        
      0.0           187999          5      37599.8      35715.0      34883       45470        4467.7  fgets                 
      0.0           159198         30       5306.6       4993.0       1162       11288        3510.5  fclose                
      0.0           150662         44       3424.1       2103.0       1172       17587        3396.8  fopen                 
      0.0            92644         28       3308.7       2849.5       1402        7511        1944.6  pthread_cond_signal   
      0.0            52752          1      52752.0      52752.0      52752       52752           0.0  pthread_cond_wait     
      0.0            28744         15       1916.3       1542.0       1282        5168         990.3  write                 
      0.0            19249          5       3849.8       3335.0       1493        6790        2427.5  fread                 
      0.0            18198          6       3033.0       2764.5       1352        5318        1418.8  open                  
      0.0            15013          4       3753.3       3916.0       2534        4647        1034.8  pipe2                 
      0.0            10777          1      10777.0      10777.0      10777       10777           0.0  connect               
      0.0             9615          2       4807.5       4807.5       3055        6560        2478.4  socket                
      0.0             7893          6       1315.5       1267.0       1052        1793         260.6  fstat64               
      0.0             6050          4       1512.5       1432.5       1122        2063         465.1  fopen64               
      0.0             4447          3       1482.3       1322.0       1312        1813         286.4  lstat64               
      0.0             3135          2       1567.5       1567.5       1332        1803         333.0  fwrite                
      0.0             3025          2       1512.5       1512.5       1432        1593         113.8  sigaction             
      0.0             1763          1       1763.0       1763.0       1763        1763           0.0  pthread_cond_broadcast
      0.0             1352          1       1352.0       1352.0       1352        1352           0.0  fcntl                 
      0.0             1312          1       1312.0       1312.0       1312        1312           0.0  fflush                
      0.0             1171          1       1171.0       1171.0       1171        1171           0.0  bind                  

Processing [/home/ndpvslam/Projects/cuvslam-stack/profiling/results/2026-07-03_125255_kitti06_nsys_dellworkstation_sm89/raw/profile.sqlite] with [/usr/lib/nsight-systems/target-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                Name              
 --------  ---------------  ---------  ---------  ---------  --------  --------  -----------  --------------------------------
     46.8        191991718       1319   145558.5   130390.0      4697    330819      85663.7  cudaStreamSynchronize           
     22.3         91670242         31  2957104.6     2965.0      1632  88119331   15808603.9  cudaHostAlloc                   
     13.7         56122565      24175     2321.5     2083.0      1883    662229       5949.0  cudaLaunchKernel                
      8.5         34982339       6582     5314.8     2283.0      1552     92242      12964.1  cudaMemcpyAsync                 
      1.5          6046157       3872     1561.5     1472.0      1172     12099        484.6  cudaMemsetAsync                 
      1.4          5634281          6   939046.8     6104.0      3376   5513486    2241345.3  cudaMemcpyToSymbol              
      1.1          4623783        191    24208.3     2404.0       271    227711      38353.6  cudaFree                        
      0.8          3454925        965     3580.2     2834.0      2253     14362       1461.9  cudaMemcpy2DAsync               
      0.8          3376215          4   844053.8   624436.0     22604   2104739     895776.8  cuLibraryLoadData               
      0.7          2867200         31    92490.3     3015.0      2173   1004836     234890.8  cudaFreeHost                    
      0.5          2057037      24175       85.1       70.0        60      6259         70.9  cuKernelGetName                 
      0.5          2010536        144    13962.1     1778.0      1192     54204      18596.7  cudaMallocPitch                 
      0.4          1835866          1  1835866.0  1835866.0   1835866   1835866          0.0  cudaMallocAsync                 
      0.4          1483528        623     2381.3     2153.0      1933     16445       1017.3  cudaLaunchKernelExC             
      0.2           794035         43    18465.9     2004.0      1172    142259      30391.8  cudaMalloc                      
      0.1           486117         88     5524.1     5328.0      4597     16225       1302.8  cudaMemcpy                      
      0.1           460382        288     1598.5     1192.0      1041      8793        801.8  cudaCreateTextureObject         
      0.0           187743       1359      138.1      100.0        60      4738        147.5  cuGetProcAddress_v2             
      0.0           180388        288      626.3      605.5       270      3325        266.2  cudaDestroyTextureObject        
      0.0           115745       1233       93.9       80.0        60      3756        112.2  cuStreamGetGreenCtx             
