Generating SQLite file /home/ndpvslam/Projects/cuvslam-stack/profiling/results/2026-07-03_125326_kitti06_nsys_dellworkstation_sm89/raw/profile.sqlite from /home/ndpvslam/Projects/cuvslam-stack/profiling/results/2026-07-03_125326_kitti06_nsys_dellworkstation_sm89/raw/profile.nsys-rep
Processing [/home/ndpvslam/Projects/cuvslam-stack/profiling/results/2026-07-03_125326_kitti06_nsys_dellworkstation_sm89/raw/profile.sqlite] with [/usr/lib/nsight-systems/target-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)   Style             Range          
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  -------  -------------------------
    100.0          2040306         89   22924.8   21944.0     20872     59992       4255.8  PushPop  CCCL:cub::DeviceMergeSort

Processing [/home/ndpvslam/Projects/cuvslam-stack/profiling/results/2026-07-03_125326_kitti06_nsys_dellworkstation_sm89/raw/profile.sqlite] with [/usr/lib/nsight-systems/target-linux-x64/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls   Avg (ns)     Med (ns)    Min (ns)    Max (ns)   StdDev (ns)            Name         
 --------  ---------------  ---------  -----------  -----------  ---------  ----------  ------------  ----------------------
     58.3      11316059628        425   26626022.7   10066146.0       1652   100120975    34970290.0  poll                  
     41.2       8000179867          9  888908874.1  500017808.0  500015495  3999993094  1166656582.6  pthread_cond_timedwait
      0.5         89895576        888     101233.8       9004.0       1002     6207606      348132.7  ioctl                 
      0.0          4304318       2547       1690.0       1182.0       1001       54684        2734.9  read                  
      0.0          2552699        843       3028.1       3065.0       1151       12279        1083.7  open64                
      0.0          1539317         37      41603.2       3636.0       1592     1045119      170925.5  mmap64                
      0.0          1168938         21      55663.7       7061.0       1502      333804       96678.5  mmap                  
      0.0           910230        650       1400.4       1342.0       1001       11347         507.6  stat64                
      0.0           800002         10      80000.2      29796.0      19190      297648      110178.9  sem_timedwait         
      0.0           263295          4      65823.8      68305.0      38950       87735       21528.2  pthread_create        
      0.0           189733          5      37946.6      36206.0      35184       45651        4385.1  fgets                 
      0.0           178169        158       1127.7       1041.5       1001        3365         321.3  close                 
      0.0           160616         30       5353.9       5052.0       1072       11387        3513.4  fclose                
      0.0           155280         44       3529.1       2178.5       1172       17617        3411.8  fopen                 
      0.0            74364          1      74364.0      74364.0      74364       74364           0.0  pthread_cond_wait     
      0.0            63749         20       3187.4       2864.5       2523        4888         725.7  pthread_cond_signal   
      0.0            26853         15       1790.2       1583.0       1202        3776         674.8  write                 
      0.0            20451          5       4090.2       3615.0       1463        7341        2630.6  fread                 
      0.0            18278          6       3046.3       2814.5       1512        5508        1414.0  open                  
      0.0            14902          4       3725.5       3565.0       2504        5268        1425.3  pipe2                 
      0.0            10516          1      10516.0      10516.0      10516       10516           0.0  connect               
      0.0             9846          2       4923.0       4923.0       3265        6581        2344.8  socket                
      0.0             9234          7       1319.1       1212.0       1001        1893         320.9  fstat64               
      0.0             6419          4       1604.8       1447.0       1111        2414         602.8  fopen64               
      0.0             5419          4       1354.8       1267.0       1012        1873         366.0  lstat64               
      0.0             3385          2       1692.5       1692.5       1632        1753          85.6  sigaction             
      0.0             3205          2       1602.5       1602.5       1232        1973         524.0  fwrite                
      0.0             1983          1       1983.0       1983.0       1983        1983           0.0  pthread_cond_broadcast
      0.0             1483          1       1483.0       1483.0       1483        1483           0.0  fcntl                 
      0.0             1272          1       1272.0       1272.0       1272        1272           0.0  bind                  

Processing [/home/ndpvslam/Projects/cuvslam-stack/profiling/results/2026-07-03_125326_kitti06_nsys_dellworkstation_sm89/raw/profile.sqlite] with [/usr/lib/nsight-systems/target-linux-x64/reports/cuda_api_sum.py]... 

 ** CUDA API Summary (cuda_api_sum):

 Time (%)  Total Time (ns)  Num Calls  Avg (ns)   Med (ns)   Min (ns)  Max (ns)  StdDev (ns)                Name              
 --------  ---------------  ---------  ---------  ---------  --------  --------  -----------  --------------------------------
     47.6        192428887       1319   145890.0   130461.0      4778    329807      86400.6  cudaStreamSynchronize           
     21.1         85540659         31  2759376.1     3215.0      1542  81890401   14689498.2  cudaHostAlloc                   
     13.8         55857065      24175     2310.5     2073.0      1883    643170       5658.9  cudaLaunchKernel                
      8.6         34781407       6582     5284.3     2313.0      1542     76488      12782.2  cudaMemcpyAsync                 
      1.5          6017240       3872     1554.0     1462.0      1181      9695        463.1  cudaMemsetAsync                 
      1.4          5637499          6   939583.2     5894.0      3245   5513207    2240975.3  cudaMemcpyToSymbol              
      1.1          4635362        191    24268.9     2224.0       291    231637      38831.4  cudaFree                        
      0.9          3471956        965     3597.9     2955.0      2273     14362       1425.8  cudaMemcpy2DAsync               
      0.9          3447617          4   861904.3   649620.0     23256   2125121     898969.8  cuLibraryLoadData               
      0.7          2845111         31    91777.8     2625.0      1723    998998     233495.4  cudaFreeHost                    
      0.5          2087473      24175       86.3       70.0        60      5398         63.1  cuKernelGetName                 
      0.5          2065811        144    14345.9     2454.0      1141     52631      19024.6  cudaMallocPitch                 
      0.5          1857359          1  1857359.0  1857359.0   1857359   1857359          0.0  cudaMallocAsync                 
      0.4          1472198        623     2363.1     2153.0      1913     16435        952.6  cudaLaunchKernelExC             
      0.2           881372         43    20497.0     2514.0      1111    143742      32580.2  cudaMalloc                      
      0.1           522151         88     5933.5     5688.5      4897     20181       1625.2  cudaMemcpy                      
      0.1           471903        288     1638.6     1182.0      1032     14502       1118.2  cudaCreateTextureObject         
      0.1           249400       1359      183.5      130.0        60     17147        481.7  cuGetProcAddress_v2             
      0.0           174562        288      606.1      601.0       261      2584        230.9  cudaDestroyTextureObject        
      0.0           109584       1233       88.9       80.0        60       791         38.5  cuStreamGetGreenCtx             
      0.0            31400         42      747.6      481.0       140      3735        832.4  cuLibraryGetKernel              
      0.0            18617          6     3102.8      896.0       831     14212       5442.5  cudaStreamCreate                
      0.0            14291         36      397.0      250.0       130      4717        746.9  cudaEventDestroy                
      0.0            12530         36      348.1      205.0       170      1463        379.3  cudaEventCreateWithFlags        
      0.0            12088          6     2014.7     1502.5      1302      3986       1049.6  cudaStreamDestroy               
      0.0            10698          8     1337.3      791.5       651      4467       1322.6  cudaDeviceSynchronize           
      0.0             6222          5     1244.4     1122.0       792      1733        427.0  cuInit                          
      0.0             2334          4      583.5      210.5        60      1853        849.6  cuModuleGetLoadingMode          
      0.0              892          3      297.3      301.0       200       391         95.6  cudaGetDriverEntryPointByVersion

Processing [/home/ndpvslam/Projects/cuvslam-stack/profiling/results/2026-07-03_125326_kitti06_nsys_dellworkstation_sm89/raw/profile.sqlite] with [/usr/lib/nsight-systems/target-linux-x64/reports/cuda_gpu_kern_sum.py]... 

 ** CUDA GPU Kernel Summary (cuda_gpu_kern_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)                                                  Name                                                
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  ----------------------------------------------------------------------------------------------------
     17.9         34128846        683   49969.0   49792.0     14528     64832       5591.2  cuvslam::cuda::sba::build_full_system_1_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cu…
      9.7         18464151        349   52905.9   52832.0     52672     53376        166.3  cuvslam::cuda::cast_image_kernel_rgb(const unsigned char *, unsigned long, float *, unsigned long, …
      9.3         17746336        518   34259.3   32128.0     19680     49600       6847.1  cuvslam::cuda::lk_track_kernel(cuvslam::cuda::Pyramid, cuvslam::cuda::Pyramid, cuvslam::cuda::Pyram…
      8.0         15272496       1396   10940.2    6560.0      3168     27904       9670.8  cuvslam::cuda::gaussian_scaling_kernel(unsigned long long, uint2, float *, unsigned long, uint2)    
      5.0          9437324        683   13817.5   13984.0      8672     15104        827.1  cuvslam::cuda::sba::build_full_system_2_kernel(cuvslam::cuda::sba::GPULinearSystemMeta, cuvslam::cu…
