Generating SQLite file /home/ndpvslam/Projects/cuvslam-stack/profiling/results/2026-07-03_124902_freiburg3longofficehouse_nsys_dellworkstation_sm89/raw/profile.sqlite from /home/ndpvslam/Projects/cuvslam-stack/profiling/results/2026-07-03_124902_freiburg3longofficehouse_nsys_dellworkstation_sm89/raw/profile.nsys-rep
Processing [/home/ndpvslam/Projects/cuvslam-stack/profiling/results/2026-07-03_124902_freiburg3longofficehouse_nsys_dellworkstation_sm89/raw/profile.sqlite] with [/usr/lib/nsight-systems/target-linux-x64/reports/nvtx_sum.py]... 

 ** NVTX Range Summary (nvtx_sum):

 Time (%)  Total Time (ns)  Instances  Avg (ns)  Med (ns)  Min (ns)  Max (ns)  StdDev (ns)   Style             Range          
 --------  ---------------  ---------  --------  --------  --------  --------  -----------  -------  -------------------------
    100.0           370631         18   20590.6   17877.5     16085     59932      10061.1  PushPop  CCCL:cub::DeviceMergeSort

Processing [/home/ndpvslam/Projects/cuvslam-stack/profiling/results/2026-07-03_124902_freiburg3longofficehouse_nsys_dellworkstation_sm89/raw/profile.sqlite] with [/usr/lib/nsight-systems/target-linux-x64/reports/osrt_sum.py]... 

 ** OS Runtime Summary (osrt_sum):

 Time (%)  Total Time (ns)  Num Calls   Avg (ns)     Med (ns)    Min (ns)   Max (ns)   StdDev (ns)           Name         
 --------  ---------------  ---------  -----------  -----------  ---------  ---------  -----------  ----------------------
     74.8       6241317573        243   25684434.5   10065710.0       1543  100120389   34249400.9  poll                  
     24.0       2000116663          4  500029165.8  500017650.5  500016919  500064443      23520.7  pthread_cond_timedwait
      1.1         88203369        867     101734.0       9014.0       1052    5740126     345129.6  ioctl                 
      0.0          2949436       1544       1910.3       1176.5       1001      60513       3444.3  read                  
      0.0          2280363        858       2657.8       2614.0       1151       9585        785.1  open64                
      0.0          1553138         38      40872.1       3690.0       1502    1043793     168656.6  mmap64                
      0.0          1155964         21      55045.9       7791.0       1402     321094      93782.6  mmap                  
      0.0           972692        705       1379.7       1332.0       1001       4567        351.2  stat64                
      0.0           826086         10      82608.6      31648.5      24778     297376     111007.9  sem_timedwait         
      0.0           199095          4      49773.8      50187.0      34693      64028      13001.2  pthread_create        
      0.0           188429          5      37685.8      35925.0      35094      45159       4236.3  fgets                 
      0.0           164361         31       5302.0       5058.0       1012      13510       3717.2  fclose                
      0.0           149360         44       3394.5       2059.0       1152      16586       3266.6  fopen                 
      0.0            89167          1      89167.0      89167.0      89167      89167          0.0  pthread_cond_wait     
      0.0            84682         64       1323.2       1057.0       1001       4137        671.4  close                 
      0.0            29193         15       1946.2       1592.0       1202       4807       1018.3  write                 
      0.0            28364          7       4052.0       4057.0       2644       5969       1400.2  pthread_cond_signal   
      0.0            19671          5       3934.2       3586.0       1532       7031       2519.0  fread                 
      0.0            18489          6       3081.5       2885.0       1352       5328       1411.8  open                  
      0.0            14331          4       3582.8       3675.0       2484       4497        997.9  pipe2                 
      0.0            10075          1      10075.0      10075.0      10075      10075          0.0  connect               
